                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3446,                 3.3207,                 1.3483,                0.33608,                  0.322,                0.26092,                 0.1952,                 1.2821,                  2.639,                 1.3932,             0.00010366,             0.00010366,             0.00010366
                      2,                 1.0885,                 2.1015,                 1.1895,                0.50502,                 0.3493,                0.33107,                0.24455,                 1.2514,                 2.6039,                 1.3857,             0.00020387,             0.00020387,             0.00020387
                      3,                 1.0567,                 1.9128,                 1.1756,                0.48361,                0.39658,                0.39455,                 0.2927,                 1.1474,                 2.2876,                 1.3017,             0.00029995,             0.00029995,             0.00029995
                      4,                 1.0334,                 1.7973,                 1.1563,                0.46639,                0.43063,                0.41896,                0.30768,                 1.2338,                 2.2409,                 1.3592,             0.00029441,             0.00029441,             0.00029441
                      5,                0.99606,                 1.6713,                 1.1368,                0.40466,                0.48426,                0.43083,                0.32786,                 1.1214,                 2.2034,                 1.2813,             0.00028821,             0.00028821,             0.00028821
                      6,                0.98651,                    1.6,                 1.1326,                0.54605,                0.46717,                0.47966,                0.36356,                 1.1494,                 2.1237,                 1.3258,             0.00028201,             0.00028201,             0.00028201
                      7,                0.95633,                 1.5275,                 1.1127,                0.52995,                0.43905,                0.47173,                0.36032,                 1.1768,                 2.1606,                 1.3266,             0.00027582,             0.00027582,             0.00027582
                      8,                0.92286,                 1.4305,                 1.0912,                0.56748,                0.47374,                0.48177,                0.37142,                 1.1106,                 2.1566,                 1.2868,             0.00026962,             0.00026962,             0.00026962
                      9,                0.90995,                 1.3801,                 1.0828,                0.60036,                0.46553,                0.50551,                0.38473,                 1.1741,                 2.0619,                 1.3013,             0.00026342,             0.00026342,             0.00026342
                     10,                 0.8886,                 1.3299,                  1.075,                0.55226,                0.49951,                0.50112,                0.38869,                 1.1261,                 2.1517,                 1.2887,             0.00025722,             0.00025722,             0.00025722
                     11,                0.87627,                 1.2604,                  1.062,                0.57486,                0.49147,                 0.5215,                0.40614,                 1.1018,                 2.0875,                 1.2732,             0.00025103,             0.00025103,             0.00025103
                     12,                 0.8738,                 1.2487,                 1.0606,                0.57937,                0.49331,                0.52649,                0.40183,                 1.0931,                 2.0108,                 1.2631,             0.00024483,             0.00024483,             0.00024483
                     13,                0.84888,                 1.1599,                 1.0465,                0.52537,                0.54387,                0.52896,                0.40882,                  1.113,                 1.9418,                 1.2859,             0.00023863,             0.00023863,             0.00023863
                     14,                0.83476,                 1.1316,                 1.0382,                0.54775,                0.50093,                0.52237,                0.40734,                 1.1333,                 2.1176,                 1.3124,             0.00023243,             0.00023243,             0.00023243
                     15,                0.81826,                 1.0822,                 1.0295,                0.50522,                0.53103,                0.51327,                0.40162,                 1.0995,                 2.0697,                 1.2716,             0.00022624,             0.00022624,             0.00022624
                     16,                0.82687,                 1.0575,                 1.0327,                0.56665,                0.51336,                0.52992,                0.41946,                 1.1049,                 2.1121,                 1.2668,             0.00022004,             0.00022004,             0.00022004
                     17,                0.80551,                  1.011,                 1.0198,                0.54397,                0.56032,                0.54909,                0.43264,                 1.0985,                 1.9864,                 1.2694,             0.00021384,             0.00021384,             0.00021384
                     18,                0.80186,                0.98088,                 1.0169,                 0.5425,                0.52221,                0.53222,                0.41931,                 1.1536,                  2.325,                 1.3072,             0.00020764,             0.00020764,             0.00020764
                     19,                0.78275,                0.93497,                 1.0078,                0.58776,                0.46845,                0.52272,                 0.4125,                 1.1298,                 2.2118,                 1.2757,             0.00020145,             0.00020145,             0.00020145
                     20,                0.77291,                0.90712,                 1.0056,                 0.5237,                0.55583,                0.54139,                0.42861,                 1.1153,                 2.1723,                 1.2788,             0.00019525,             0.00019525,             0.00019525
                     21,                0.76722,                 0.8757,                 1.0011,                0.63466,                0.50698,                0.57141,                 0.4537,                 1.1089,                 1.9989,                  1.269,             0.00018905,             0.00018905,             0.00018905
                     22,                0.75766,                0.84052,                0.99802,                0.56877,                0.50176,                0.52808,                0.41714,                 1.1328,                 2.1991,                 1.3174,             0.00018285,             0.00018285,             0.00018285
                     23,                0.74041,                0.82377,                0.98968,                0.57938,                0.50926,                0.54026,                0.42665,                 1.1143,                   2.23,                 1.2886,             0.00017666,             0.00017666,             0.00017666
                     24,                0.73986,                0.79205,                0.98843,                0.59493,                0.51619,                 0.5526,                0.44237,                 1.1074,                 2.2496,                 1.2815,             0.00017046,             0.00017046,             0.00017046
                     25,                 0.7311,                0.77668,                 0.9808,                0.58254,                0.53212,                0.55395,                0.44181,                 1.1153,                 2.1379,                 1.2832,             0.00016426,             0.00016426,             0.00016426
                     26,                0.71836,                0.74859,                0.97608,                0.60551,                0.50842,                0.55554,                0.44234,                 1.1096,                 2.1273,                 1.2757,             0.00015807,             0.00015807,             0.00015807
                     27,                0.71532,                0.71663,                0.97331,                0.53902,                0.54247,                 0.5441,                0.43228,                 1.1009,                 2.3327,                 1.2622,             0.00015187,             0.00015187,             0.00015187
                     28,                0.70083,                 0.6902,                0.96634,                0.52486,                0.53094,                0.53823,                0.42479,                 1.1224,                 2.3866,                 1.2867,             0.00014567,             0.00014567,             0.00014567
                     29,                0.69787,                0.67196,                0.96117,                0.57134,                0.52408,                0.55565,                0.43942,                 1.1228,                 2.3245,                 1.2888,             0.00013947,             0.00013947,             0.00013947
                     30,                0.68685,                 0.6581,                0.96005,                0.60571,                0.51596,                0.55019,                0.43949,                 1.0693,                 2.3144,                 1.2438,             0.00013328,             0.00013328,             0.00013328
                     31,                0.67542,                0.62847,                0.95045,                0.58405,                0.51788,                0.54427,                0.43319,                 1.1319,                 2.4475,                 1.2965,             0.00012708,             0.00012708,             0.00012708
                     32,                0.67323,                0.61516,                 0.9519,                0.61643,                0.50796,                0.55514,                0.44375,                 1.0949,                 2.5641,                 1.2668,             0.00012088,             0.00012088,             0.00012088
                     33,                0.66285,                0.60975,                 0.9485,                0.56155,                0.55283,                0.55713,                0.44597,                 1.1011,                 2.3179,                 1.2829,             0.00011468,             0.00011468,             0.00011468
                     34,                0.65483,                0.59178,                0.94398,                0.61997,                0.50353,                0.54622,                0.43447,                 1.1306,                 2.5333,                 1.3117,             0.00010849,             0.00010849,             0.00010849
                     35,                0.64157,                0.57734,                0.94497,                0.59902,                0.56293,                0.56965,                 0.4602,                 1.0921,                 2.4635,                 1.2588,             0.00010229,             0.00010229,             0.00010229
                     36,                0.64122,                 0.5534,                0.94079,                0.58363,                0.54175,                0.55762,                0.44755,                 1.0748,                 2.4428,                 1.2549,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                0.63114,                0.54121,                0.93455,                0.59184,                0.53049,                0.55975,                 0.4472,                 1.1074,                 2.4842,                 1.2866,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                 0.6224,                0.52746,                0.93102,                0.63136,                0.49036,                0.54363,                0.43708,                 1.1124,                 2.5264,                 1.2965,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                0.61203,                 0.5118,                 0.9245,                0.57447,                0.54097,                0.56226,                0.45122,                 1.1039,                 2.5966,                 1.2774,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.60666,                0.51095,                0.92367,                0.62174,                0.53029,                0.55188,                0.44279,                 1.1103,                 2.5919,                 1.2931,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                 0.5327,                0.37715,                 0.8825,                0.56736,                0.53308,                0.54003,                 0.4312,                  1.122,                 2.5032,                 1.3111,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                 0.5115,                 0.3461,                0.87589,                0.60782,                0.55167,                0.57273,                0.45994,                 1.1103,                 2.4577,                 1.3057,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                0.51074,                0.33608,                0.87472,                0.60526,                0.51971,                0.54791,                0.43942,                 1.1248,                 2.6793,                 1.3076,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                0.48988,                0.31383,                0.86423,                0.56479,                0.53796,                0.55675,                0.44606,                 1.1104,                 2.5306,                 1.3033,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.49005,                0.32077,                0.86671,                0.55741,                0.53845,                0.55192,                0.44288,                  1.109,                 2.5947,                 1.3067,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.47919,                0.30719,                0.86166,                0.57572,                0.54405,                0.55318,                0.44267,                 1.1396,                 2.6689,                 1.3274,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.46998,                0.29686,                0.85609,                0.59259,                0.51913,                 0.5499,                0.44119,                 1.1103,                 2.6828,                 1.3039,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.46452,                0.28812,                0.85869,                0.60225,                0.53275,                0.55735,                0.44665,                 1.1011,                 2.6403,                 1.2968,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                0.45471,                 0.2848,                0.85299,                0.61544,                0.52657,                 0.5549,                0.44692,                 1.0925,                 2.6686,                   1.29,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                0.45454,                0.28003,                0.85088,                0.59171,                0.51703,                0.55356,                0.44577,                    1.1,                  2.669,                 1.2977,             9.3274e-06,             9.3274e-06,             9.3274e-06
